Date,Calendar_Year,Month_Name,Month_Number,Weekday,Weekday_number,Quarter,Month_Year,Month_Year_Index,Month_Diff,FY_Year
01-07-2022 00:00,2022,July,7,Friday,6,Q3,07/2022,202207,42,
02-07-2022 00:00,2022,July,7,Saturday,7,Q3,07/2022,202207,42,
03-07-2022 00:00,2022,July,7,Sunday,1,Q3,07/2022,202207,42,
04-07-2022 00:00,2022,July,7,Monday,2,Q3,07/2022,202207,42,
05-07-2022 00:00,2022,July,7,Tuesday,3,Q3,07/2022,202207,42,
06-07-2022 00:00,2022,July,7,Wednesday,4,Q3,07/2022,202207,42,
07-07-2022 00:00,2022,July,7,Thursday,5,Q3,07/2022,202207,42,
08-07-2022 00:00,2022,July,7,Friday,6,Q3,07/2022,202207,42,
09-07-2022 00:00,2022,July,7,Saturday,7,Q3,07/2022,202207,42,
10-07-2022 00:00,2022,July,7,Sunday,1,Q3,07/2022,202207,42,
11-07-2022 00:00,2022,July,7,Monday,2,Q3,07/2022,202207,42,
12-07-2022 00:00,2022,July,7,Tuesday,3,Q3,07/2022,202207,42,
13-07-2022 00:00,2022,July,7,Wednesday,4,Q3,07/2022,202207,42,
14-07-2022 00:00,2022,July,7,Thursday,5,Q3,07/2022,202207,42,
15-07-2022 00:00,2022,July,7,Friday,6,Q3,07/2022,202207,42,
16-07-2022 00:00,2022,July,7,Saturday,7,Q3,07/2022,202207,42,
17-07-2022 00:00,2022,July,7,Sunday,1,Q3,07/2022,202207,42,
18-07-2022 00:00,2022,July,7,Monday,2,Q3,07/2022,202207,42,
19-07-2022 00:00,2022,July,7,Tuesday,3,Q3,07/2022,202207,42,
20-07-2022 00:00,2022,July,7,Wednesday,4,Q3,07/2022,202207,42,
21-07-2022 00:00,2022,July,7,Thursday,5,Q3,07/2022,202207,42,
22-07-2022 00:00,2022,July,7,Friday,6,Q3,07/2022,202207,42,
23-07-2022 00:00,2022,July,7,Saturday,7,Q3,07/2022,202207,42,
24-07-2022 00:00,2022,July,7,Sunday,1,Q3,07/2022,202207,42,
25-07-2022 00:00,2022,July,7,Monday,2,Q3,07/2022,202207,42,
26-07-2022 00:00,2022,July,7,Tuesday,3,Q3,07/2022,202207,42,
27-07-2022 00:00,2022,July,7,Wednesday,4,Q3,07/2022,202207,42,
28-07-2022 00:00,2022,July,7,Thursday,5,Q3,07/2022,202207,42,
29-07-2022 00:00,2022,July,7,Friday,6,Q3,07/2022,202207,42,
30-07-2022 00:00,2022,July,7,Saturday,7,Q3,07/2022,202207,42,
31-07-2022 00:00,2022,July,7,Sunday,1,Q3,07/2022,202207,42,
01-07-2023 00:00,2023,July,7,Saturday,7,Q3,07/2023,202307,30,
02-07-2023 00:00,2023,July,7,Sunday,1,Q3,07/2023,202307,30,
